,home_team,away_team,Time,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,HTR,FTR,FTHG,FTAG,date,away_expected_points,away_xg,away_np_xg,away_np_xg_difference,away_ppda,away_deep_completions,home_expected_points,home_xg,home_np_xg,home_np_xg_difference,home_ppda,home_deep_completions,game_id,home_club_position,away_club_position,home_club_manager_name,away_club_manager_name,referee,home_club_formation,away_club_formation,home_club_id,away_club_id,home_xi_market_value,home_xi_average_age,home_xi_average_height,home_xi_total_caps,away_xi_market_value,away_xi_average_age,away_xi_average_height,away_xi_total_caps
43,Granada,Barcelona,20:00,9,8,4,1,4,5,22,12,3,2,0,0,H,H,2,0,2019-09-21,0.2592,0.557709,0.557709,-0.571841,5.2727272727272725,10,2.5958999999999994,1.87283,1.12955,0.571841,14.73076923076923,2,3208673.0,5.0,8.0,Diego Martínez,Ernesto Valverde,Guillermo Cuadra Fernández,4-2-3-1,4-3-3 Attacking,16795.0,131.0,18700000.0,27.791674444651857,181.36363636363637,99.0,585000000.0,27.043494493186483,182.0,586.0
44,Villarreal,Real Valladolid,12:00,18,7,6,3,4,8,12,8,2,1,0,0,D,H,2,0,2019-09-21,0.2531,0.434119,0.434119,-0.8582110000000001,16.22222222222222,1,2.6033,2.03561,1.29233,0.8582110000000001,5.0,6,3208678.0,7.0,12.0,Javier Calleja,Sergio,César Soto Grado,4-2-3-1,4-4-2 double 6,1050.0,366.0,97500000.0,28.567481799514653,181.54545454545453,302.0,46500000.0,27.336942318461823,180.63636363636363,45.0
45,Sevilla,Real Madrid,20:00,9,7,0,4,9,6,16,15,3,2,0,0,D,A,0,1,2019-09-22,2.1748,1.23916,1.23916,0.8445360000000001,10.448275862068966,9,0.5596000000000001,0.394624,0.394624,-0.8445360000000001,8.923076923076923,1,3208676.0,4.0,2.0,Julen Lopetegui,Zinédine Zidane,Juan Martínez Munuera,4-3-3 Attacking,4-2-3-1,368.0,418.0,146500000.0,28.926389148155064,181.8181818181818,238.0,613000000.0,28.671022338373465,183.8181818181818,567.0
46,Getafe,Mallorca,11:00,14,7,5,3,7,2,15,17,4,5,0,0,H,H,4,2,2019-09-22,0.2037,0.726341,0.726341,-1.239899,5.166666666666667,1,2.6895,2.70951,1.96624,1.239899,6.85,13,3208672.0,11.0,17.0,Pepe Bordalás,Vicente Moreno,Santiago Jaime Latre,4-4-2,4-1-4-1,3709.0,237.0,133000000.0,28.052019164955507,182.8181818181818,204.0,17800000.0,28.583162217659137,180.54545454545453,105.0
47,Espanyol,Real Sociedad,13:00,17,10,3,5,5,7,7,12,1,0,0,0,A,A,1,3,2019-09-22,2.0612,1.49572,1.49572,0.7938519999999999,11.68,8,0.6866,0.701868,0.701868,-0.7938519999999999,9.894736842105264,10,3208671.0,18.0,3.0,David Gallego,Imanol Alguacil,Adrián Cordero Vega,4-4-2 double 6,4-2-3-1,714.0,681.0,80000000.0,27.616700889801507,180.72727272727272,16.0,227500000.0,26.5412233215108,180.9090909090909,177.0
48,Valencia,Leganes,15:00,13,13,4,4,6,6,14,23,3,4,0,0,D,D,1,1,2019-09-22,1.2285,1.52139,1.52139,0.598931,11.576923076923077,3,1.4985,1.66574,0.922459,-0.598931,9.0,5,3208677.0,14.0,20.0,Albert Celades,Mauricio Pellegrino,Estrada Fernández,4-4-2,3-4-1-2,1049.0,1244.0,313000000.0,27.880530147470598,182.45454545454547,196.0,56500000.0,26.578059859374026,180.72727272727272,166.0
49,Athletic Club,Alaves,17:30,13,5,4,1,3,2,11,19,1,4,0,0,H,H,2,0,2019-09-22,0.3024,0.522331,0.522331,-0.6695890000000001,10.533333333333331,1,2.523,1.9352,1.19192,0.6695890000000001,9.136363636363637,5,3208669.0,1.0,15.0,Gaizka Garitano,Asier Garitano,Jesús Gil Manzano,4-2-3-1,4-1-4-1,621.0,1108.0,187500000.0,27.348889303714767,179.72727272727272,107.0,55300000.0,28.79223445958559,181.36363636363637,20.0
50,Barcelona,Villarreal,20:00,8,11,4,3,6,5,4,13,4,2,0,0,H,H,2,1,2019-09-24,1.1797,0.54607,0.54607,-0.0977949999999999,12.88888888888889,4,1.3981,0.643865,0.643865,0.0977949999999999,13.727272727272728,15,3208679.0,6.0,8.0,Ernesto Valverde,Javier Calleja,De Burgos Bengoetxea,4-3-3 Attacking,4-2-3-1,131.0,1050.0,695000000.0,28.05600149337316,181.36363636363637,777.0,126000000.0,27.128865658639782,180.63636363636363,305.0
51,Real Betis,Levante,19:00,17,17,5,3,5,2,11,11,2,2,0,0,D,H,3,1,2019-09-24,0.8318,1.93984,1.93984,-0.7985200000000001,23.666666666666668,6,1.9511,2.73836,2.73836,0.7985200000000001,10.545454545454543,14,3208680.0,9.0,11.0,Rubi,Paco López,Eduardo Prieto Iglesias,4-4-2 double 6,4-3-3 Attacking,150.0,3368.0,149500000.0,29.46450127558957,183.0,410.0,48300000.0,29.416962230103913,181.54545454545453,6.0
52,Real Valladolid,Granada,18:00,9,6,5,4,6,3,21,18,3,2,0,0,D,D,1,1,2019-09-24,0.7126,0.650478,0.650478,-0.616782,7.461538461538462,3,1.9579,1.26726,1.26726,0.616782,10.090909090909092,2,3208688.0,15.0,5.0,Sergio,Diego Martínez,Valentin Pizarro Gomez,4-4-2 double 6,4-4-2 double 6,366.0,16795.0,46800000.0,27.560699396428348,179.27272727272728,29.0,20100000.0,27.52411175409122,184.63636363636363,42.0
