,FTR,date,Time,game_id,HTR,team,club_id,manager,formation,xi_market_value,xi_average_age,xi_average_height,xi_total_caps,is_home,shots_last_5,shots_target_last_5,corners_last_5,fouls_last_5,yellow_cards_last_5,red_cards_last_5,xp_last_5,xg_last_5,np_xg_last_5,ppda_last_5,deep_completions_last_5,xi_market_value_last_5,xi_average_age_last_5,xi_average_height_last_5,xi_total_caps_last_5,shots_ewm_5,shots_target_ewm_5,corners_ewm_5,fouls_ewm_5,yellow_cards_ewm_5,red_cards_ewm_5,xp_ewm_5,xg_ewm_5,np_xg_ewm_5,ppda_ewm_5,deep_completions_ewm_5,xi_market_value_ewm_5,xi_average_age_ewm_5,xi_average_height_ewm_5,xi_total_caps_ewm_5,position_last
325,A,2020-07-01,18:30,3210093.0,A,Alaves,1108.0,Asier Garitano,4-4-2 double 6,48900000.0,29.580735486279636,182.36363636363637,14.0,1,6.2,2.2,3.6,15.2,2.2,0.6,0.7817999999999999,0.6512865,0.5026317000000001,16.515289327789326,2.4,48430000.0,27.666728890548193,182.58181818181816,23.4,6.483007491356682,2.047883148638265,3.486142189002585,13.966297835420841,2.237364732345702,0.3137816886353679,0.8174676333331863,0.7866281384358134,0.5239211715235942,18.23376401153797,2.5887620414750105,49289252.14101209,27.509502435952363,182.72163808656686,23.21707909620218,14.0
332,H,2020-07-04,18:30,3210112.0,D,Alaves,1108.0,Asier Garitano,4-2-3-1,49400000.0,28.814386161408745,183.8181818181818,27.0,0,8.2,3.0,4.6,15.0,2.2,0.4,0.9879200000000001,0.8449118,0.6962570000000001,14.225289327789326,3.2,47930000.0,28.00587393441603,182.54545454545456,19.6,7.988673987480422,2.6985897712394022,4.324096087485939,15.31086730126058,2.4915768810424734,0.20918763080344427,0.9223452509470856,0.8643455457138506,0.6892077030853508,13.755835755004131,3.3925092696109527,49159501.22684855,28.199914519562086,182.60230399452675,20.14471465000957,15.0
348,H,2020-07-10,21:00,3210120.0,H,Alaves,1108.0,Juan Muñiz,4-4-2 double 6,35700000.0,29.05929935909402,184.72727272727272,17.0,0,6.6,1.6,4.2,14.2,1.6,0.2,0.68666,0.6030448,0.45439000000000007,15.085778388278388,2.6,48230000.0,28.068894281625283,182.8909090909091,21.2,7.659115652161655,1.7990589208482168,3.882730270321058,15.87391211418996,1.661050398467911,0.1394583487045512,0.9250635034315771,0.6800785073213088,0.5633200057080003,13.091191405959462,2.5950053581981756,49239667.56714843,28.404738611175585,183.00759701992126,22.429812120648453,15.0
357,D,2020-07-13,18:30,3210123.0,D,Alaves,1108.0,Juan Muñiz,4-4-2 double 6,34900000.0,29.306452616514218,185.0909090909091,17.0,1,7.8,2.0,3.8,15.6,1.6,0.0,0.8053000000000001,0.8314378,0.682783,14.060288192199957,2.8,46150000.0,28.334017796030118,183.23636363636365,21.6,8.43941097065121,2.532706451073014,3.2551530825515287,16.24927500057808,1.440700114317185,0.09297220054480453,0.8284756026215342,0.8901891491767696,0.8123501748296632,13.462755310129145,2.730003664843755,44726441.94525608,28.622925676990874,183.58082264937437,20.61987350410283,17.0
365,A,2020-07-16,20:00,3210135.0,D,Alaves,1108.0,Juan Muñiz,4-4-2 double 6,29200000.0,27.918611162964343,185.0909090909091,17.0,0,7.4,2.2,2.8,18.4,2.0,0.0,0.82308,0.7772038,0.628549,13.04421676362853,2.6,41450000.0,28.60795221205899,183.87272727272727,20.0,6.626273150305321,2.021804066803288,2.8367685301474204,19.499518155146603,2.2938004667957683,0.06198145284103501,0.7860837156722793,0.6329639816829539,0.5810713439975128,10.1775496550319,2.4866689984872514,41450959.79718739,28.850768094480923,184.08418502701255,19.41324845029281,17.0
378,A,2020-07-19,16:00,3208633.0,A,Alaves,1108.0,Juan Muñiz,4-4-2 double 6,38700000.0,28.730259473585964,184.63636363636363,19.0,1,8.0,2.8,3.6,19.2,2.4,0.2,1.03424,1.0145978,1.0145978,13.608319327731092,3.2,39620000.0,28.93589695725219,184.2181818181818,18.4,7.417515675045722,3.014536347544547,3.5578459068574677,18.99967861753305,2.8625338181234734,0.37465439733035066,1.1147225774244143,1.1928894920265365,1.1582944055159279,18.00725771541769,3.3244462547040143,37367305.2850153,28.54004902246878,184.41975981740467,18.60883205466534,16.0
386,A,2020-09-13,13:00,3431904.0,D,Alaves,1108.0,Pablo Machín,3-1-4-2,51600000.0,29.15288407690872,183.54545454545453,22.0,1,7.4,2.0,2.8,19.0,1.8,0.2,0.81314,0.8655392,0.8655392000000001,16.140627020038785,3.0,37580000.0,28.765801754713458,184.67272727272726,19.4,7.611677156206075,2.009690693892129,3.0385638322389252,18.33311894272055,1.9083556845881546,0.24976957280805961,0.752014977810762,0.8867552657240032,0.8636918770634571,17.825351260442734,3.549630882291011,37811536.9470713,28.60345251907616,184.49196110508288,18.739221396309155,16.0
392,H,2020-09-20,17:30,3431918.0,D,Alaves,1108.0,Pablo Machín,3-5-2,45200000.0,28.190405077468732,185.45454545454547,20.0,0,7.4,2.4,3.4,19.4,2.4,0.2,1.10038,1.0385142,1.0385141999999998,15.500246067657832,3.0,38020000.0,28.833501337813452,184.61818181818182,18.4,7.407784743144701,2.0064604621565505,4.025709355405413,18.555412658635973,2.2722371724216917,0.1665130372444087,1.2902433915547393,0.9833101902476473,0.9679345988501836,14.736900421326448,2.6997538062359148,42407691.92154624,28.78659639653169,184.17645887574014,19.82614774498816,14.0
394,D,2020-09-26,12:00,3431924.0,D,Alaves,1108.0,Pablo Machín,4-4-2,49600000.0,28.9634745815444,183.54545454545453,26.0,1,6.4,2.2,3.8,18.4,2.8,0.2,1.01874,0.9304741999999999,0.9304741999999999,15.096569597069598,2.8,39920000.0,28.659722481488398,184.76363636363635,19.0,6.605189756178269,2.337640338055522,4.017139569495243,16.370274908138423,2.5148248035535348,0.11100868647658517,0.9358622289870662,0.9122767870743321,0.9020263932728675,13.8871002040303,2.4665025163958934,43338461.3652075,28.587865938871307,184.602487773871,19.884098501899707,18.0
408,H,2020-09-30,18:00,3431943.0,H,Alaves,1108.0,Pablo Machín,4-4-2,53100000.0,28.44626967830253,182.36363636363637,31.0,0,7.6,2.0,3.6,15.8,2.4,0.2,1.07234,1.0802044,1.0802044,15.662097547380156,3.0,42860000.0,28.59112687449443,184.45454545454544,20.8,7.403459885581337,1.558426845056817,3.011426319027216,15.246849871025612,2.3432165253557815,0.07400578875341815,0.9470081533300523,0.8972395238095976,0.8904059281479595,11.402994189147487,2.644335021652441,45425641.03597819,28.71306882731105,184.25014334315537,21.922732457512755,19.0
