Equipo,Fecha,hora,es_local,resultado_final,xpts_avg5,ppda_avg5,corners_avg5,faltas_avg5,amarillas_avg5,rojas_avg5,diff_xg_avg5,diff_tiros_puerta_avg5,diff_tiros_avg5,diff_pases_area_avg5,diff_xpts_avg5,diff_corners_avg5,diff_faltas_avg5,diff_amarillas_avg5,diff_ratio_presion_avg5,diff_dominio_ofensivo_avg5,diff_agresividad_ofensiva_avg5,diff_disciplina_avg5,xpts_ewma5,ppda_ewma5,corners_ewma5,faltas_ewma5,amarillas_ewma5,rojas_ewma5,diff_xg_ewma5,diff_tiros_puerta_ewma5,diff_tiros_ewma5,diff_pases_area_ewma5,diff_xpts_ewma5,diff_corners_ewma5,diff_faltas_ewma5,diff_amarillas_ewma5,diff_ratio_presion_ewma5,diff_dominio_ofensivo_ewma5,diff_agresividad_ofensiva_ewma5,diff_disciplina_ewma5
Barcelona,2023-02-05,20:00:00,1,H,1.6767400000000001,7.339024265644956,5.2,12.4,2.6,0.4,0.47510720000000006,1.2,3.2,3.4,0.5932199999999999,2.0,1.2,-0.6,21.950283518074592,7.075107199999998,5.2,1.4,1.8607644169551885,7.762599991328093,4.938592415440455,11.56141046035213,1.9043384856380778,0.2526267695569801,0.7514613028831437,1.5509848633498637,3.8351905882256094,5.370602940916491,0.9518835364667215,2.3460917187904595,-0.7294819589645372,-0.854729068597754,18.512288116413355,9.957254832025244,6.181282307016069,1.7933669871923226
Barcelona,2023-02-12,20:00:00,0,A,1.7495199999999997,8.458444555500028,4.8,11.8,1.4,0.2,0.70661562,1.4,2.4,4.6,0.71466,1.4,1.6,-0.8,21.96495413731043,7.7066156199999964,3.8,1.6,2.231609611303459,8.885211588421628,5.959061610293637,10.374273640234755,1.2695589904253854,0.1684178463713201,1.519724235255429,3.033989908899909,6.8901270588170735,7.5804019606109945,1.6209890243111476,3.2307278125269727,-1.1529879726430248,-1.236486045731836,17.006380483406005,15.990253254683495,10.120854871344047,1.862244658128215
Barcelona,2023-02-19,20:00:00,1,H,1.9028799999999997,7.928666777722251,4.4,12.2,1.6,0.0,0.91187962,2.4,3.6,6.2,1.03128,1.2,-0.8,-1.0,21.39069830164283,10.711879619999996,4.8,1.8,2.0296730742023064,7.693844762651455,4.639374406862426,12.91618242682317,2.1797059936169236,0.11227856424754674,1.1220694901702863,2.6893266059332728,3.26008470587805,5.38693464040733,1.2627593495407652,0.8204852083513157,-2.1019919817620165,-0.8243240304878908,11.795788047138396,9.769088836455664,4.0805699142293665,1.2414964387521434
Barcelona,2023-02-26,17:30:00,0,H,2.12908,7.9125637181409285,4.6,13.0,1.8,0.0,1.1956764200000003,2.4,3.8,9.2,1.4682,0.6,-2.4,-1.0,8.332515646938436,14.195676419999995,4.4,1.8,2.019448716134871,7.781403754811116,4.759582937908284,13.61078828454878,2.1198039957446158,0.07485237616503117,1.0431629934468578,2.1262177372888487,2.840056470585367,9.924623093604886,1.2487395663605103,0.2136568055675439,-2.4013279878413445,-0.8828826869919273,11.021208594572595,13.807842557637109,3.0537132761529113,1.1609976258347623
Barcelona,2023-03-05,15:15:00,1,H,2.16078,6.925262130839341,5.6,12.2,1.8,0.0,1.24376242,1.6,5.2,10.6,1.5222599999999997,1.6,-3.8,-1.2,10.030928345351132,17.043762419999997,6.8,1.6,1.8774658107565807,6.505062820667728,5.506388625272189,12.74052552303252,2.413202663829744,0.04990158411002078,0.8046696622979054,0.41747849152589933,4.226704313723578,10.616415395736592,1.0041930442403402,1.1424378703783626,-2.26755199189423,-0.5885884579946182,12.69667874558808,15.647789371758073,5.369142184101941,0.773998417223175
Barcelona,2023-03-12,20:00:00,0,A,2.13492,7.435307108350587,5.4,12.6,1.8,0.2,1.21173942,1.8,3.6,9.4,1.4727000000000001,1.2,-2.6,-0.6,8.523661145617668,14.211739419999995,4.8,0.2,2.0793105405043875,7.278737532619066,5.337592416848127,12.160350348688347,1.6088017758864963,0.3666010560733472,1.0239977748652702,1.2783189943505997,2.8178028758157185,8.077610263824395,1.37686202949356,1.7616252469189084,-2.1783679945961536,-0.3923923053297455,9.040942030069994,11.919410914505383,4.579428122734628,-0.15066772185121657
Barcelona,2023-03-19,20:00:00,1,H,1.7338,7.900129242737938,4.4,12.4,2.0,0.2,0.5180735999999999,0.0,0.0,6.4,0.73326,-0.2,-3.4,-0.4,5.401580946714185,6.918073599999997,-0.2,0.0,1.7087736936695919,9.337340173261197,4.558394944565418,10.440233565792234,1.4058678505909976,0.24440070404889816,0.5453055165768469,-0.14778733709960012,0.21186858387714613,4.385073509216264,0.6719080196623735,0.5077501646126058,-3.4522453297307694,-0.5949282035531637,5.488682761004629,5.142247609670257,0.7196187484897525,0.23288818543252227
Barcelona,2023-04-01,19:00:00,0,A,1.8631799999999998,8.934203316812013,5.6,11.2,2.0,0.2,0.6809432,0.4,2.0,6.4,0.9765,2.0,-2.8,-0.2,5.712182197315436,9.080943199999997,4.0,-0.2,1.8967491291130614,9.718720609334625,5.7055966297102785,10.960155710528156,2.270578567060665,0.16293380269926547,0.7439063443845646,1.2348084419335998,2.141245722584764,3.2567156728108433,1.0354386797749155,2.6718334430750703,-2.6348302198205134,-0.06328546903544252,4.634991649872896,6.141867739780173,4.813079165659834,-0.17807454304498513
Barcelona,2023-04-10,19:00:00,1,D,1.92596,8.972898968985925,5.2,10.4,2.2,0.2,0.7258203999999999,1.0,1.0,4.0,1.0997400000000002,0.6,-2.2,0.6,4.561105592760572,5.725820399999996,1.6,-1.0,2.0354660860753744,9.195813739556417,4.803731086473519,10.973437140352104,2.51371904470711,0.10862253513284366,0.865849562923043,2.1565389612890664,0.4274971483898429,4.504477115207228,1.302592453183277,-0.885444371283286,-1.7565534798803424,0.957809687309705,4.328883322137487,5.797823826520115,-0.45794722289344314,-1.11871636202999
Barcelona,2023-04-16,14:15:00,0,D,1.97178,9.526172778509736,6.2,11.0,1.6,0.2,0.7722263999999999,2.2,2.2,3.4,1.19382,2.0,-1.8,0.2,2.350688926093904,6.372226399999997,4.2,-0.6,1.9645107240502497,8.370125826370945,7.202487390982347,11.982291426901403,1.6758126964714068,0.07241502342189578,0.7638040419486953,2.4376926408593778,4.618331432259895,6.002984743471486,1.1968949687888515,2.7430370858111424,-1.1710356532535617,-0.028126875126863293,4.551100786186896,11.385120217680077,7.361368518071037,-0.07914424135332676
